iter	RMSE
0	176.4885393
1	165.6213647
2	156.7693525
3	149.5701692
4	143.7220964
5	139.0529583
6	135.1760285
7	132.0802373
8	129.5849659
9	127.4678092
10	125.756073
11	124.2226336
12	122.8085946
13	121.6664481
14	120.6415272
15	119.7708667
16	119.0111153
17	118.3005316
18	117.6003735
19	117.0087904
20	116.3783312
21	115.7243349
22	115.2599165
23	114.6865904
24	114.2624852
25	113.7126444
26	113.2098158
27	112.7750028
28	112.4186376
29	112.0350958
30	111.6158136
31	111.3223675
32	111.0224541
33	110.6741853
34	110.3899581
35	110.0190043
36	109.6889249
37	109.3770964
38	108.9763768
39	108.6787506
40	108.3657933
41	108.1128975
42	107.8601627
43	107.6316542
44	107.2551682
45	107.0088391
46	106.7352687
47	106.4530259
48	106.2679154
49	106.001753
50	105.805599
51	105.6148893
52	105.4415068
53	105.2791563
54	105.0905669
55	104.8258699
56	104.6353695
57	104.4258432
58	104.2489598
59	104.0282834
60	103.8886873
61	103.7653876
62	103.5519199
63	103.3634478
64	103.1862833
65	103.0474339
66	102.8903064
67	102.737896
68	102.5178803
69	102.372561
70	102.2085631
71	102.0758582
72	101.9560314
73	101.8036081
74	101.669304
75	101.5356104
76	101.4171014
77	101.2902326
78	101.1360885
79	101.0164338
80	100.9026154
81	100.779084
82	100.6295212
83	100.4929294
84	100.3607219
85	100.22323
86	100.1240099
87	99.96379319
88	99.86905229
89	99.79834501
90	99.67390558
91	99.5302682
92	99.39005474
93	99.26894788
94	99.1555213
95	99.03553888
96	98.9275584
97	98.836283
98	98.74133964
99	98.68068472
100	98.57772771
101	98.4697989
102	98.35097015
103	98.283553
104	98.17664944
105	97.98781344
106	97.91147169
107	97.79131219
108	97.65875448
109	97.52487249
110	97.41467506
111	97.31555848
112	97.21941225
113	97.12395844
114	97.04020378
115	96.9465235
116	96.86722831
117	96.77687752
118	96.64327446
119	96.54140058
120	96.47646267
121	96.41401704
122	96.31526278
123	96.22845047
124	96.14181555
125	96.03904659
126	95.95313474
127	95.86462072
